hanja,meaning,reading,source
牧,칠,목,material
沒(没),빠질,몰,material;textbook
夢(梦),꿈,몽,material
蒙,어릴,몽,material
卯,토끼,묘,material;textbook
苗,싹,묘,material
妙,묘할,묘,material;textbook
墓,무덤,묘,material
廟(庙),사당,묘,material
無(无),없을,무,material;textbook
舞,춤출,무,material
霧(雾),안개,무,material
武,호반,무,material;textbook
戊,천간,무,material
茂,무성할,무,material
務(务),힘쓸,무,material
貿(贸),무역할,무,material
墨,먹,묵,material
默,잠잠할,묵,material
門(门),문,문,material;textbook
問(问),물을,문,material;textbook
聞(闻),들을,문,material
文,글월,문,material;textbook
勿,말,물,material;textbook
物,물건,물,material
米,쌀,미,material
迷,미혹할,미,material
未,아닐,미,material;textbook
味,맛,미,material;textbook
美,아름다울,미,material;textbook
眉,눈썹,미,material
尾,꼬리,미,material
微,작을,미,material
民,백성,민,material;textbook
敏,민첩할,민,material
憫(悯),불쌍할,민,material
密,숨길,밀,material
蜜,꿀,밀,material
樸(朴),성,박,material
拍,칠,박,material
泊,배댈,박,material
迫,닥칠,박,material
博,넓을,박,material
薄,엷을,박,material
半,반,반,material;textbook
伴,짝,반,material;textbook
反,돌이킬,반,material;textbook
返,돌아올,반,material
叛,배반할,반,material
飯(饭),밥,반,material
班,나눌,반,material
般,일반,반,material
盤(盘),소반,반,material
發(发),필,발,material;textbook
拔,뺄,발,material
髮(发),터럭,발,material
方,모,방,material;textbook
訪(访),찾을,방,material
防,막을,방,material
妨,방해할,방,material
芳,꽃다울,방,material;textbook
房,방,방,material
放,놓을,방,material;textbook
倣,본뜰,방,material
傍,곁,방,material
邦,나라,방,material
拜,절,배,material;textbook
排,밀칠,배,material
輩(辈),무리,배,material
杯,잔,배,material
倍,곱,배,material
培,북돋을,배,material
配,짝,배,material
背,등,배,material
白,흰,백,material;textbook
伯,맏,백,material;textbook
百,일백,백,material;textbook
番,차례,번,material
飜,번역할,번,material
繁,많을,번,material
煩(烦),번거로울,번,material
伐,칠,벌,material
罰(罚),벌할,벌,material
凡,무릇,범,material
犯,범할,범,material
範(范),법,범,material
法,법,법,material;textbook
壁,벽,벽,material
碧,푸를,벽,material
辯(辩),말씀,변,material
辨,분별할,변,material
變(变),변할,변,material
邊(边),가,변,material
別(别),나눌,별,material;textbook
兵,병사,병,material
竝,나란히,병,material
屛,병풍,병,material
丙,남녘,병,material;textbook
病,병,병,material
步,걸음,보,material
保,지킬,보,material;textbook
報(报),갚을,보,material;textbook
普,넓을,보,material
譜(谱),족보,보,material
補(补),기울,보,material;textbook
寶(宝),보배,보,material;textbook
卜,점,복,material
伏,엎드릴,복,material
福,복,복,material;textbook
服,옷,복,material;textbook
腹,배,복,material
複(复),겹칠,복,material
復(复),다시,부,material;textbook
覆,덮을,복,material
本,근본,본,material;textbook
封,봉할,봉,material
峯(峰),봉우리,봉,material
蜂,벌,봉,material;textbook
逢,만날,봉,material
奉,받들,봉,material
鳳(凤),봉황새,봉,material
父,아비,부,material;textbook
夫,지아비,부,material;textbook
扶,도울,부,material
否,아닐,부,material
付,줄,부,material
附,붙을,부,material
府,관청,부,material
腐,썩을,부,material
符,부호,부,material;textbook
富,부자,부,material;textbook
副,버금,부,material
部,떼,부,material;textbook
赴,갈,부,material
婦(妇),지어미,부,material;textbook
負(负),질,부,material
賦(赋),부세,부,material
